Algorithm,N_Clusters,Silhouette_Score,Davies_Bouldin,Calinski_Harabasz
K-Means,2,0.20962883772197918,1.8083281218647502,589.3783766898295
Hierarchical,2,0.21037320056461667,1.7771913890847508,508.2193948541083
DBSCAN,5,0.04826962401060508,1.7789521932964487,70.64959716616342
