Final_ML_Cluster,Age,Income,Family_Size,R_Score,F_Score,M_Score,Avg_Order_Value,Purchase_Frequency_Rate,Product_Diversity,Campaign_Acceptance_Rate,CLV_Estimate,Customer_Value_Score,Engagement_Score,Customer_Tenure_Days
0,54.58,42425.1,2.89,3.03,2.46,2.33,16.76,0.09,5.3,0.03,345.18,40.12,13.98,343.86
1,56.39,73809.97,1.89,2.98,4.08,4.6,65.11,0.23,5.74,0.17,1659.61,72.26,23.72,377.72
